subject,base,trial,sex,style,modality,level,age_years,height_cm,mass_kg,bmi_kg_m2,practice_years,grade,dominant_guard,metric,value,window,family,joint,axis,stat,unit
ID007,KOK,4,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4293695162315166,pre_strike,com,,,,m
ID007,KOK,5,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4570786915744362,pre_strike,com,,,,m
ID007,KIB,1,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3830500177253472,pre_strike,com,,,,m
ID007,KIB,2,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3745136346404449,pre_strike,com,,,,m
ID007,KIB,3,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.4006577509975741,pre_strike,com,,,,m
ID007,KIB,4,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3714855157779737,pre_strike,com,,,,m
ID007,KIB,5,F,Goju-Ryu,Kata,International,20,165.0,72.5,17.9,15,1 Dan,Left,pre_com_x_mean_m,0.3699078379586245,pre_strike,com,,,,m
ID008,ZEN,1,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.4016935453685749,pre_strike,com,,,,m
ID008,ZEN,2,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.3605007891383181,pre_strike,com,,,,m
ID008,ZEN,3,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.3486579575875235,pre_strike,com,,,,m
ID008,ZEN,4,F,Goju-Ryu,Kata,International,19,155.0,52.9,22.0,15,1 Dan,Left,pre_com_x_mean_m,0.384022166825126,pre_strike,com,,,,m
