subject,base,trial,filtered,n_frames,rate_hz,duration_s,status,strike_peak_time_s,strike_peak_speed_mps,v3d_com_offset_mm
ID011,KIB,3,True,1620,180.0,8.994444444444444,ok,3.7777777777777777,5.768035480699141,20.33544780234329
ID011,KIB,4,True,1620,180.0,8.994444444444444,ok,3.9055555555555554,5.531488020299404,20.23557036442843
ID011,KIB,5,True,1620,180.0,8.994444444444444,ok,4.25,5.713936223533156,18.691294085954485
ID011,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID012,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.061111111111111,6.142412617992453,10.347562689400752
ID012,ZEN,2,True,1620,180.0,8.994444444444444,ok,4.0777777777777775,6.452581440094761,10.654056263715406
ID012,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.072222222222222,6.386167382286813,10.197001274719169
ID012,ZEN,4,True,1620,180.0,8.994444444444444,ok,3.922222222222222,6.332379877546589,11.211769044863242
ID012,ZEN,5,True,1620,180.0,8.994444444444444,ok,3.9166666666666665,6.34098504026131,11.431836924976816
ID012,KOK,1,True,1620,180.0,8.994444444444444,ok,4.294444444444444,5.811108733670994,16.937604456381493
ID012,KOK,2,True,1620,180.0,8.994444444444444,ok,4.177777777777778,6.022937468835258,17.282156262011572
ID012,KOK,3,True,1620,180.0,8.994444444444444,ok,4.427777777777778,5.792378362124107,16.91083166809628
ID012,KOK,4,True,1620,180.0,8.994444444444444,ok,3.8444444444444446,5.66249790524512,17.649926847992937
ID012,KOK,5,True,1620,180.0,8.994444444444444,ok,4.038888888888889,5.977356151974796,16.8827518503917
ID012,KIB,1,True,1620,180.0,8.994444444444444,ok,4.122222222222222,6.0645228963431235,12.437540683821009
ID012,KIB,2,True,1620,180.0,8.994444444444444,ok,3.938888888888889,5.948060571946446,12.258000611273712
ID012,KIB,3,True,1620,180.0,8.994444444444444,ok,4.055555555555555,5.854252854195121,12.560615784147958
ID012,KIB,4,True,1620,180.0,8.994444444444444,ok,4.016666666666667,5.864730265055664,13.598454146873234
ID012,KIB,5,True,1620,180.0,8.994444444444444,ok,4.1,6.123620568134983,13.975755796232676
ID012,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID013,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.183333333333334,4.855732576178408,11.726742409521346
ID013,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.9944444444444445,5.739603648511605,11.329326407218728
ID013,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.283333333333333,5.7191597199690865,11.292081582990397
ID013,ZEN,4,True,1620,180.0,8.994444444444444,ok,4.038888888888889,6.106890828083599,10.961517440764137
ID013,ZEN,5,True,1620,180.0,8.994444444444444,ok,4.194444444444445,5.9937980356156695,11.215921117221946
ID013,KOK,1,True,1620,180.0,8.994444444444444,ok,4.488888888888889,5.483997339113399,13.030610787543713
ID013,KOK,2,True,1620,180.0,8.994444444444444,ok,4.022222222222222,5.69387368626323,13.501629169285515
ID013,KOK,3,True,1620,180.0,8.994444444444444,ok,4.05,6.417700118106682,12.436050531717825
ID013,KOK,4,True,1620,180.0,8.994444444444444,ok,3.966666666666667,5.902934151766686,13.740131020049148
ID013,KOK,5,True,1620,180.0,8.994444444444444,ok,3.8444444444444446,6.25361611204507,12.174397908367945
ID013,KIB,1,True,1620,180.0,8.994444444444444,ok,4.522222222222222,5.712322745865735,13.506867526189787
ID013,KIB,2,True,1620,180.0,8.994444444444444,ok,4.1722222222222225,6.083572434166321,13.30153548338085
ID013,KIB,3,True,1620,180.0,8.994444444444444,ok,4.277777777777778,5.882795090076558,13.1549059485026
ID013,KIB,4,True,1620,180.0,8.994444444444444,ok,4.205555555555556,5.496458534674234,13.940155314043244
ID013,KIB,5,True,1620,180.0,8.994444444444444,ok,4.166666666666667,5.864368231598517,13.071596784850808
ID013,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID014,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.216666666666667,7.798053056704656,6.429522040465054
ID014,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.888888888888889,7.604532063758253,6.614016103617855
ID014,ZEN,3,True,1620,180.0,8.994444444444444,ok,3.977777777777778,7.7948910232293915,6.571858057223277
ID014,ZEN,4,True,1620,180.0,8.994444444444444,ok,4.127777777777778,7.878868725552089,6.4237727405972835
ID014,ZEN,5,True,1620,180.0,8.994444444444444,ok,3.888888888888889,7.762179488335668,6.156220948765684
